target_no,mgmt_no,rows,dt_start,dt_end,span_days,rt_min,rt_max,rt_span,rt_all_zero,voltage_active_rate,voltage_na_rate,active_rows_per_plug,plug_activity_imbalance_ratio,exchange_candidates_total,exchange_candidates_per_plug
5630,5630,133462,2018-03-27,2026-01-21,2856,0.0,19142705.0,19142705.0,False,0.7647869805637559,0.0,"71501,62702,62709,62501,97627,97629",0.6401888783046021,16243,"0,0,0,0,14473,1770"
9290,9290,97617,2018-03-27,2025-12-15,2819,0.0,18896948.0,18896948.0,False,0.8389010110943791,0.0,"59636,59801,59688,59636,81816,81816",0.7289038818812946,5101,"0,0,0,1,3231,1869"
9720,9720,94068,2018-03-27,2025-12-15,2819,40224.0,18667024.0,18626800.0,False,0.19739975336990262,0.0,"18568,18568,18569,18568,18569,18569",0.9999461468038128,0,"0,0,0,0,0,0"
9690,9690,95214,2018-03-27,2025-12-15,2819,11536.0,17308935.0,17297399.0,False,0.813115718276724,0.0,"64610,29861,27881,28059,56147,56147",0.4315276273022752,38244,"0,0,0,0,19333,18911"
9580,9580,64225,2018-03-21,2025-12-15,2825,8966.0,9740564.0,9731598.0,False,0.9181315687037758,0.0,"55779,48889,37078,37534,42575,42575",0.6647304541135552,3613,"83,0,0,0,2371,1159"
9581,9581,64032,2018-03-27,2025-12-15,2819,278.0,9499397.0,9499119.0,False,0.9494783858070964,0.0,"59664,60797,38887,38892,41519,41519",0.639620376005395,1572,"0,1,0,0,971,600"
9420,9420,48910,2023-03-01,2025-12-15,1019,40727.0,4531515.0,4490788.0,False,0.9805765692087508,0.0,"47960,47960,47960,47960,47960,47960",1.0,0,"0,0,0,0,0,0"
9421,9421,48910,2023-03-01,2025-12-15,1019,40715.0,4530226.0,4489511.0,False,0.981149049274177,0.0,"47988,47988,47988,47988,47988,47988",1.0,0,"0,0,0,0,0,0"
8950,8950,85632,2021-01-26,2025-12-15,1783,9523.0,4443392.0,4433869.0,False,0.9191190209267563,0.0,"78706,78706,78706,78706,78706,78706",1.0,0,"0,0,0,0,0,0"
9110,9110,72546,2021-10-02,2025-12-15,1534,0.0,4325655.0,4325655.0,False,0.9473437543076118,0.0,"68726,68726,68726,68726,68726,68726",1.0,0,"0,0,0,0,0,0"
9111,9111,72547,2021-10-02,2025-12-15,1534,0.0,4310563.0,4310563.0,False,0.9268336388823797,0.0,"67239,67239,67239,67239,67239,67239",1.0,0,"0,0,0,0,0,0"
9380,9380,51239,2018-03-27,2025-12-15,2819,2057.0,4243236.0,4241179.0,False,0.9999024180799782,0.0,"51234,51234,51234,51234,51234,51234",1.0,6,"1,1,1,1,1,1"
9381,9381,51237,2018-03-27,2025-12-15,2819,2345.0,4129323.0,4126978.0,False,0.9806975427913422,0.0,"50248,50248,50248,50248,50248,50248",1.0,0,"0,0,0,0,0,0"
9410,9410,50130,2023-02-03,2025-12-15,1045,3637.0,3667238.0,3663601.0,False,0.9993417115499701,0.0,"50097,50097,50097,50097,50097,50097",1.0,0,"0,0,0,0,0,0"
9230,9230,65221,2022-03-25,2025-12-15,1360,0.0,3221261.0,3221261.0,False,0.9951549347602766,0.0,"64905,64905,64905,64905,64905,64905",1.0,0,"0,0,0,0,0,0"
9221,9221,65307,2022-03-25,2025-12-15,1360,37156.0,2907699.0,2870543.0,False,0.9995712557612507,0.0,"65279,65279,65279,65279,65279,65279",1.0,0,"0,0,0,0,0,0"
9220,9220,65307,2022-03-25,2025-12-15,1360,37138.0,2902819.0,2865681.0,False,0.9994946942900454,0.0,"65274,65274,65274,65274,65274,65274",1.0,0,"0,0,0,0,0,0"
9440,9440,47483,2023-03-31,2025-12-15,989,11321.0,2741271.0,2729950.0,False,0.9986732093591391,0.0,"47420,47420,47420,47420,47420,47420",1.0,0,"0,0,0,0,0,0"
9120,9120,72899,2021-10-14,2025-12-15,1522,0.0,2554903.0,2554903.0,False,0.9971330196573341,0.0,"72690,72690,72690,72690,72690,72690",1.0,0,"0,0,0,0,0,0"
9540,9540,44631,2023-05-30,2025-12-15,929,0.0,2497804.0,2497804.0,False,0.9983419596244762,0.0,"44557,44557,44557,44557,44557,44557",1.0,0,"0,0,0,0,0,0"
